Date,DMA,HVA
4/2/2025,Atlanta (524),256
4/2/2025,Boston (Manchester) (506),202
4/2/2025,Chicago (602),329
4/2/2025,Dallas-Ft. Worth (623),303
4/2/2025,Houston (618),225
4/2/2025,Los Angeles (803),541
4/2/2025,Miami-Ft. Lauderdale (528),163
4/2/2025,New York (501),706
4/2/2025,Orlando-Daytona Bch-Melbrn (534),224
4/2/2025,Philadelphia (504),332
4/2/2025,Phoenix (Prescott) (753),165
4/2/2025,San Francisco-Oak-San Jose (807),192
4/2/2025,Seattle-Tacoma (819),156
4/2/2025,Tampa-St. Pete (Sarasota) (539),210
4/2/2025,Washington DC (Hagrstwn) (511),293
4/3/2025,Atlanta (524),331
4/3/2025,Boston (Manchester) (506),205
4/3/2025,Chicago (602),342
4/3/2025,Dallas-Ft. Worth (623),337
4/3/2025,Detroit (505),195
4/3/2025,Houston (618),235
4/3/2025,Los Angeles (803),543
4/3/2025,Miami-Ft. Lauderdale (528),193
4/3/2025,New York (501),729
4/3/2025,Orlando-Daytona Bch-Melbrn (534),264
4/3/2025,Philadelphia (504),314
4/3/2025,Phoenix (Prescott) (753),163
4/3/2025,San Francisco-Oak-San Jose (807),220
4/3/2025,Tampa-St. Pete (Sarasota) (539),207
4/3/2025,Washington DC (Hagrstwn) (511),294
4/4/2025,Atlanta (524),210
4/4/2025,Boston (Manchester) (506),161
4/4/2025,Chicago (602),274
4/4/2025,Dallas-Ft. Worth (623),193
4/4/2025,Detroit (505),144
4/4/2025,Houston (618),158
4/4/2025,Los Angeles (803),385
4/4/2025,Miami-Ft. Lauderdale (528),158
4/4/2025,New York (501),551
4/4/2025,Orlando-Daytona Bch-Melbrn (534),165
4/4/2025,Philadelphia (504),274
4/4/2025,Phoenix (Prescott) (753),135
4/4/2025,San Francisco-Oak-San Jose (807),147
4/4/2025,Tampa-St. Pete (Sarasota) (539),163
4/4/2025,Washington DC (Hagrstwn) (511),208
4/5/2025,Atlanta (524),232
4/5/2025,Boston (Manchester) (506),164
4/5/2025,Charlotte (517),127
4/5/2025,Chicago (602),234
4/5/2025,Dallas-Ft. Worth (623),247
4/5/2025,Houston (618),168
4/5/2025,Los Angeles (803),399
4/5/2025,Miami-Ft. Lauderdale (528),187
4/5/2025,New York (501),552
4/5/2025,Orlando-Daytona Bch-Melbrn (534),160
4/5/2025,Philadelphia (504),318
4/5/2025,Phoenix (Prescott) (753),133
4/5/2025,San Francisco-Oak-San Jose (807),133
4/5/2025,Tampa-St. Pete (Sarasota) (539),172
4/5/2025,Washington DC (Hagrstwn) (511),190
4/6/2025,Atlanta (524),260
4/6/2025,Boston (Manchester) (506),208
4/6/2025,Charlotte (517),153
4/6/2025,Chicago (602),300
4/6/2025,Dallas-Ft. Worth (623),298
4/6/2025,Houston (618),211
4/6/2025,Los Angeles (803),444
4/6/2025,Miami-Ft. Lauderdale (528),186
4/6/2025,New York (501),758
4/6/2025,Orlando-Daytona Bch-Melbrn (534),233
4/6/2025,Philadelphia (504),362
4/6/2025,Phoenix (Prescott) (753),163
4/6/2025,San Francisco-Oak-San Jose (807),162
4/6/2025,Tampa-St. Pete (Sarasota) (539),201
4/6/2025,Washington DC (Hagrstwn) (511),275
4/7/2025,Atlanta (524),277
4/7/2025,Boston (Manchester) (506),178
4/7/2025,Charlotte (517),128
4/7/2025,Chicago (602),287
4/7/2025,Dallas-Ft. Worth (623),286
4/7/2025,Detroit (505),131
4/7/2025,Houston (618),210
4/7/2025,Los Angeles (803),468
4/7/2025,Miami-Ft. Lauderdale (528),194
4/7/2025,New York (501),658
4/7/2025,Orlando-Daytona Bch-Melbrn (534),210
4/7/2025,Philadelphia (504),375
4/7/2025,San Francisco-Oak-San Jose (807),153
4/7/2025,Tampa-St. Pete (Sarasota) (539),185
4/7/2025,Washington DC (Hagrstwn) (511),245
4/8/2025,Atlanta (524),239
4/8/2025,Boston (Manchester) (506),184
4/8/2025,Chicago (602),284
4/8/2025,Dallas-Ft. Worth (623),302
4/8/2025,Detroit (505),171
4/8/2025,Houston (618),235
4/8/2025,Los Angeles (803),474
4/8/2025,Miami-Ft. Lauderdale (528),180
4/8/2025,New York (501),630
4/8/2025,Orlando-Daytona Bch-Melbrn (534),210
4/8/2025,Philadelphia (504),286
4/8/2025,Phoenix (Prescott) (753),142
4/8/2025,San Francisco-Oak-San Jose (807),156
4/8/2025,Tampa-St. Pete (Sarasota) (539),197
4/8/2025,Washington DC (Hagrstwn) (511),228
4/9/2025,Atlanta (524),282
4/9/2025,Boston (Manchester) (506),162
4/9/2025,Charlotte (517),134
4/9/2025,Chicago (602),289
4/9/2025,Dallas-Ft. Worth (623),290
4/9/2025,Detroit (505),140
4/9/2025,Houston (618),191
4/9/2025,Los Angeles (803),507
4/9/2025,Miami-Ft. Lauderdale (528),177
4/9/2025,New York (501),623
4/9/2025,Orlando-Daytona Bch-Melbrn (534),180
4/9/2025,Philadelphia (504),321
4/9/2025,San Francisco-Oak-San Jose (807),142
4/9/2025,Tampa-St. Pete (Sarasota) (539),177
4/9/2025,Washington DC (Hagrstwn) (511),201
